7794652	Minuartia circassica (Albov) Woronow
3813535	Minuartia circassica (Albov) Woronow ex Grossh.
3691511	Brassica rupestris subsp. brevisiliqua Raimondo & Mazzola
5076538	Glabellula crassicornis (Greene, 1924)
9116788	Meganola malgassica (Kenrick, 1917)
9748425	Termes classicus Sjöstedt, 1912
4538399	Neotullbergia crassicuspis (Gisin, 1943)
8614048	Triassicidaris ampezzana (Zardini, 1978)
4151351	Epicampes crassiculmis Piper
4108852	Poa thalassica Kunth
6068810	Distichlis thalassica var. thalassica
4121307	Distichlis thalassica var. pectinata Griseb.
4121308	Distichlis thalassica É.Desv.
4139996	Eragrostis thalassica Steud.
4121407	Distichlis spicata var. thalassica (Kunth) Kuntze
5941627	Brizopyrum thalassicum (Kunth) Nees
4121372	Megastachya thalassica (Kunth) Roem. & Schult.
4152475	Uniola thalassica (Kunth) Trin.
4121316	Distichlis thalassica var. mendocina (Phil.) Kurtz
7533546	Panthus crassicornis Walker, 1846
1732592	Callopizoma malgassica (Kenrick, 1914)
12323994	Nassichukites Tozer, 1979
2159677	Witica crassicauda (Keyserling, 1865)
10626933	Leucoparyphus crassicornis Cameron, 1956
4486596	Pterotmetus crassicornis Baerensprung, 1858
4444649	Etheothassa crassicornis J.Sahlberg, 1876
8838239	Scolopostethus crassicornis Douglas & Scott, 1871
9438865	Epeira molassica (Heer, 1864)
9995592	Omalium crassicorne A.Matthews, 1863
4444644	Omalium crassicornis A.Matthews, 1863
11250915	Homalium crassicorne Matthews
4622768	Nassichukites
11066572	Pertusaria parathalassica Kantvilas & Elix
1366663	Mymar crassicornis Soyka, 1949
1366664	Ferrierella crassicornis (Soyka, 1949)
9589258	? crassicostatum Welter, 1922
4944802	Stephanastrea jurassica Roniewicz, 1976
6788942	Pecten crassicostatus G.B.Sowerby II, 1842
5729533	Chlamys crassicostata (G.B.Sowerby II, 1842)
11587934	Neodiscopoma crassichaeta Ma, 2015
7389499	Entoloma crassicystidiatum T.H.Li & Xiao L.He
2539498	Entoloma brassicolens (D.A.Reid) Noordel.
9379305	Parathurammina talassica Sabirov & Gushchin, 2006
9079913	Armadillo molassicus Heer, 1865
8683963	Crassicymatium Beu, 2010
5185693	Coryne sargassicola Calder, 1988
1447243	Orthocladius crassicornis Goetghebuer, 1937
5039036	Osmia cerinthidis crassiclypeata Peters, 1978
10473289	Psilomma crassicornis Kieffer, 1908
7015907	Mylonchulus brassicus Soni & Nama, 1980
4452940	Brassicogethes coracinus (Sturm, 1845)
5588481	Arenaria talassica Adylov
4452953	Brassicogethes salvan (Audisio, De Biase & Antonini, 2003)
7015894	Paramylonchulus cassicus Dhanachand, Rombati & Anandi, 1995
9606817	Phymatoceras crassicosta (Merla, 1932)
9834218	Psilomma crassicornis fuscicornis Kieffer, 1908
4452911	Brassicogethes anthracinus (Brisout de Barneville, 1863)
8636612	Crassiceras dimorphum Merla, 1932
8508048	Crassiceras latum Merla, 1932
8562211	Crassiceras canavarii (Franceschi, 1921)
4220920	Zollikoferiastrum brassicifolium (Boiss.) Kamelin
3150528	Cephalorrhynchus brassicifolius (Boiss.) Tuisl
3150530	Cicerbita brassicifolia Beauverd
4452926	Brassicogethes subaeneus (Sturm, 1845)
4452917	Brassicogethes fulvipes (C.Brisout de Barneville, 1863)
8514027	Holarthrothrips crassicornis Schliephake, 2001
8588021	Furloceras crassicostatum Merla, 1932
9478642	Blacus crassicornis (Brues, 1933)
4452915	Brassicogethes czwalinai (Reitter, 1871)
4452964	Brassicogethes coeruleovirens (Förster, 1849)
4452951	Brassicogethes matronalis (Audisio & Spornraft, 1990)
1254742	Cardiochiles crassicornis Kokujev, 1895
4776701	Gallobelicus crassicornis Distant, 1904
8409702	Nesidiocoris crassicornis (Distant, 1904)
4452909	Brassicogethes longulus (Schilsky, 1894)
4452922	Brassicogethes mirae (Audisio, Jelinek & Stevanovic, 1999)
4983252	Spinoprotunuma triassica Kozur et al., 2007
8858024	Carabus circassicus abagonensis Starck, 1894
11144618	Carabus circassicus koshtanensis Belousov & Zamotajlov, 1993
9518691	Tribax circassicus Ganglbauer, 1886
9197283	Carabus circassicus kubaniensis Semenov, 1897
8947769	Carabus circassicus circassicus
8856996	Carabus circassicus teberdensis (Zolotarev, 1913)
4814189	Crassicoscinidae
4814337	Chakassicyathus Zhuravleva & Osadchaja, 1974
4814203	Crassicoscinus Rozanov & Zhuravlev, 1988
4814377	Crassicyathus Vologdin, 1977
9443544	Spongosaturnalis triassicus (Kozur & Mostler, 1972)
8667888	Bipedis triassicus Yeh & Cheng, 1996
10466050	Tikicopros triassicus Rakshit, Bhat, Mukherjee & Ray, 2018
1047734	Synetocephalus crassicornis (Fall, 1910)
6275197	Heptachispa crassicornis (Chapuis, 1877)
6215363	Idiochlora celataria thalassica (Turner, 1904)
6872972	Carabus gigas parnassicus Kraatz-Koschlau, 1884
6273662	Javeta crassicornis Gestro, 1899
8660236	Laxtorum jurassicum Isozaki & Matsuda, 1985
8653840	Capnuchosphaera triassica De Wever, 1979
6274131	Prionispa crassicornis Gestro, 1909
4471034	Carabus parnassicus Mandl, 1955
9390537	Eumolpites jurassicus (Martynov, 1926)
9493924	Hagiastrum triassicum (Kozur & Mostler, 1978)
6276055	Dactylispa crassicuspis Gestro, 1908
6273200	Sceloenopla crassicornis Pic, 1929
8915042	Terasakiella brassicae Han et al., 2016
8459158	Canoptum triassicum Yao, 1982
8463577	Pentaspongodiscus mesotriassicus Dumitrica et al., 1980
6275646	Callispa nyassica Spaeth, 1935
8564807	Fenestrula jurassica Yeh, 1995
5876346	Phaedon brassicae Baly, 1874
8706348	Jurassichelon Pérez-García, 2015
6273834	Agenysa crassicornis Spaeth, 1905
8499533	Neopylentonema mesotriassica Kozur, 1984
10125491	Thalassicollidium australis Haeckel, 1887
10162233	Thalassicollidium maculata Haeckel, 1887
8439747	Palhindeolithus triassicus Dumitrica, 1982
5752003	Luperus circassicus Medvedev, 1962
4462229	Phyllotreta crassicornis Allard, 1866
6273797	Pseudispella crassicornis (Weise, 1902)
6276768	Cassida circassica Medvedev, 1962
8616217	Xenorum jurassicum Kozur & Mostler, 1990
8468746	Stichomitra triassica Dumitrica et al., 1980
9292604	Percivalia cassicola McFarlane, 1939
8581271	Zartus jurassicus Pessagno & Blome, 1980
8506118	Hexapyramis triassica Kozur & Mostler, 1979
8621169	Eonapora mesotriassica Kozur & Mostler, 1981
4462573	Aphthona parnassicola Heikertinger, 1944
6273593	Coelaenomenodera crassicornis Fairmaire, 1897
6275139	Botryonopa crassicornis Gestro, 1897
6273575	Octotoma crassicornis Weise, 1910
8690680	Protoscelis jurassica Medvedev, 1968
9197509	Senelella triassica Tekin, 1999
4462191	Neocrepidodera crassicornis (Faldermann, 1837)
8443019	Entactinosphaera triassica Kozur & Mostler, 1979
6277139	Spaethiella crassicornis (Spaeth, 1910)
4618827	Crassicoeloceras Buckman, 1926
9612100	Asaphus crassicauda (Wahlenberg, 1826)
7813080	Herniaria parnassica subsp. parnassica
8199297	Herniaria parnassica subsp. cretica Chaudhri
8477904	Acanthotheelia triassica Speckmann, 1968
10970138	Elascus crassicornis Pascoe, 1860
8884356	Crassicoactum cucumis Botting & Peel, 2016
8541376	Paurinella mesotriassica Kozur & Mostler, 1981
10801297	Paurinella liassica Tekin, 2020
4878207	Cryptolaria crassicaulis Allman, 1888
11934975	Euchloris thalassica Turner, 1904
5010742	Curculio brassicae J.C.Fabricius, 1792
1187356	Rhynchaenus brassicae (J.C.Fabricius, 1792)
5023029	Grypus brassicae (J.C.Fabricius, 1792)
3807860	Alsine parnassica Boiss. & Spruner
7552263	Ballistura crassicauda Tullberg, 1871
8447159	Isotoma crassicauda Tullberg, 1871
10941427	Proisotoma crassicaudata I.Loksa, 1978
4627186	Colombiceras crassicostatus (d'Orbigny, 1840)
4980529	Senowbaridaryana triassica (Kovacs, 1978)
9357213	Arca crassicosta (Heilprin, 1887)
6529674	Anadara crassicostata (H.Adams, 1873)
8498187	Sphaeria brassicae Pers.
5953843	Phoma brassicae Thüm.
8332323	Sphaeria brassicae Pers. ex Curr.
5953841	Phoma napobrassicae Rostr.
8401934	Depazea brassicae Sacc.
2618337	Depazea brassicae Curr.
2618329	Phyllosticta brassicae Westend.
5953844	Phoma lingam var. napobrassicae (Rostr.) Grove
9061253	Isacmaea crassicornis
1725450	Hemideina crassicruris Salmon, 1950
1383178	Elachestus crassicornis Nees, 1834
10288450	Ecacanthothrips crassiceps Karny, 1913
4399784	Eremopsocus crassicornis (Kolbe, 1883)
9872044	Tropidina jurassica (Branson, 1935)
8418507	Eliomys jurassicus
7955446	Aphodius madagassicus Petrovitz, 1961
2256290	Actinostola crassicornis (Hertwig, 1882)
2655869	Goniolithon brassica-florida f. laccadivicum Foslie, 1903
2655873	Lithothamnion brassica-florida (Harvey) Aresch., 1852
2655860	Goniolithon brassica-florida (Harvey) Foslie
2655855	Melobesia brassica-florida Harv.
